,t,x,y,ω
1,0.017,0.006761,0.203,-60.9
2,0.034,0.01149,0.203,-86.3
3,0.05,0.01724,0.205,-130.6
4,0.067,0.02722,0.204,-174.7
5,0.084,0.03791,0.201,-201.2
6,0.101,0.05092,0.199,-169.4
7,0.117,0.05771,0.197,-123.2
8,0.134,0.06473,0.194,-137.2
9,0.151,0.07354,0.192,-172.0
10,0.168,0.08406,0.186,-230.6
11,0.184,0.09752,0.178,-239.6
12,0.201,0.108,0.171,-233.8
13,0.218,0.119,0.161,-259.4
14,0.235,0.13,0.149,-226.4
15,0.252,0.137,0.141,-182.9
16,0.268,0.143,0.133,-204.9
17,0.285,0.15,0.122,-247.2
18,0.302,0.157,0.108,-215.5
19,0.319,0.162,0.1,-185.4
20,0.335,0.167,0.09032,-261.1
21,0.352,0.173,0.07332,-265.1
22,0.369,0.176,0.0622,-225.9
23,0.386,0.178,0.04919,-202.1
24,0.403,0.18,0.04038,-196.8
25,0.419,0.179,0.02792,-224.9
26,0.436,0.18,0.01618,-209.4
27,0.453,0.179,0.005711,-199.1
28,0.47,0.177,-0.004744,-222.7
29,0.486,0.172,-0.01703,-254.1
30,0.503,0.168,-0.02992,-294.9
31,0.52,0.163,-0.04527,-288.5
32,0.537,0.159,-0.05716,-287.4
33,0.553,0.148,-0.06986,-357.9
34,0.57,0.139,-0.08618,-350.0
35,0.587,0.128,-0.09635,-347.2
36,0.604,0.118,-0.112,-326.3
37,0.621,0.106,-0.117,-285.3
38,0.637,0.0955,-0.127,-313.7
39,0.654,0.08466,-0.138,-281.9
40,0.671,0.07516,-0.144,-311.5
41,0.688,0.05842,-0.151,-338.4
42,0.704,0.04436,-0.153,-288.8
43,0.721,0.03205,-0.158,-289.8
44,0.738,0.0182,-0.16,-276.8
45,0.755,0.006335,-0.165,-243.5
46,0.771,-0.00487,-0.168,-254.0
47,0.788,-0.01939,-0.175,-276.5
48,0.805,-0.03346,-0.173,-252.0
49,0.822,-0.04548,-0.172,-271.9
50,0.839,-0.05813,-0.159,-298.6
51,0.855,-0.07308,-0.158,-278.6
52,0.872,-0.08754,-0.155,-274.2
53,0.889,-0.09995,-0.148,-241.8
54,0.906,-0.11,-0.143,-208.9
55,0.922,-0.119,-0.137,-233.3
56,0.939,-0.129,-0.128,-241.8
57,0.956,-0.138,-0.119,-256.7
58,0.973,-0.149,-0.108,-299.0
59,0.989,-0.16,-0.09569,-290.7
60,1.006,-0.169,-0.08338,-236.6
61,1.023,-0.176,-0.07424,-255.7
62,1.04,-0.182,-0.05811,-274.8
63,1.057,-0.188,-0.04576,-243.9
64,1.073,-0.192,-0.03228,-274.1
65,1.09,-0.198,-0.01564,-280.2
66,1.107,-0.197,-0.0004762,-260.2
67,1.124,-0.2,0.01478,-242.6
68,1.14,-0.199,0.02796,-256.8
69,1.157,-0.195,0.04441,-291.5
70,1.174,-0.193,0.0617,-264.2
71,1.191,-0.189,0.07508,-280.7
72,1.208,-0.181,0.09301,-330.1
73,1.224,-0.172,0.111,-333.1
74,1.241,-0.161,0.127,-326.4
75,1.258,-0.148,0.142,-334.7
76,1.275,-0.135,0.159,-341.4
77,1.291,-0.12,0.172,-305.7
78,1.308,-0.105,0.181,-289.0
79,1.325,-0.08942,0.191,-274.9
80,1.342,-0.07527,0.197,-278.2
81,1.358,-0.05714,0.202,-357.4
82,1.375,-0.03254,0.207,-373.6
83,1.392,-0.01197,0.21,-328.4
84,1.409,0.007609,0.209,-325.0
85,1.426,0.0276,0.206,-343.7
86,1.442,0.04844,0.2,-318.6
87,1.459,0.06345,0.192,-348.8
88,1.476,0.08574,0.181,-396.7
89,1.493,0.103,0.168,-339.1
90,1.509,0.116,0.156,-302.6
91,1.526,0.128,0.143,-296.3
92,1.543,0.137,0.13,-295.6
93,1.56,0.146,0.115,-345.6
94,1.576,0.157,0.09705,-407.5
95,1.593,0.163,0.075,-369.0
96,1.61,0.166,0.05841,-336.4
97,1.627,0.167,0.0397,-304.1
98,1.644,0.166,0.02703,-275.0
99,1.66,0.168,0.01222,-267.6
100,1.677,0.169,0.0007313,-280.4
101,1.694,0.166,-0.01529,-377.9
102,1.711,0.159,-0.03508,-417.9
103,1.727,0.157,-0.05481,-308.5
104,1.744,0.145,-0.0607,-314.8
105,1.761,0.136,-0.07791,-391.6
106,1.778,0.126,-0.09124,-358.6
107,1.795,0.113,-0.101,-354.9
108,1.811,0.09934,-0.11,-417.1
109,1.828,0.08559,-0.126,-433.7
110,1.845,0.06973,-0.133,-356.2
111,1.862,0.05678,-0.139,-360.7
112,1.878,0.04174,-0.15,-375.9
113,1.895,0.02628,-0.156,-336.0
114,1.912,0.01189,-0.16,-309.1
115,1.929,-0.00229,-0.162,-330.9
116,1.945,-0.01968,-0.164,-333.4
117,1.962,-0.03535,-0.166,-289.7
118,1.979,-0.0494,-0.166,-271.1
119,1.996,-0.06359,-0.165,-293.5
120,2.013,-0.07985,-0.161,-326.0
121,2.029,-0.0958,-0.153,-356.3
122,2.046,-0.113,-0.143,-321.6
123,2.063,-0.126,-0.136,-275.3
124,2.08,-0.14,-0.128,-292.7
125,2.096,-0.152,-0.116,-317.3
126,2.113,-0.166,-0.103,-318.0
127,2.13,-0.176,-0.08851,-310.8
128,2.147,-0.186,-0.07265,-295.8
129,2.163,-0.194,-0.05834,-273.1
130,2.18,-0.2,-0.04303,-251.2
131,2.197,-0.204,-0.03002,-243.1
132,2.214,-0.208,-0.01459,-251.1
133,2.231,-0.209,0.0002418,-233.0
134,2.247,-0.21,0.01394,-233.4
135,2.264,-0.211,0.02928,-280.7
136,2.281,-0.208,0.04884,-315.7
137,2.298,-0.204,0.06812,-309.4
138,2.314,-0.199,0.08674,-298.2
139,2.331,-0.19,0.103,-317.3
140,2.348,-0.179,0.122,-309.7
141,2.365,-0.17,0.137,-304.3
142,2.382,-0.157,0.154,-306.8
143,2.398,-0.143,0.166,-297.3
144,2.415,-0.128,0.179,-304.1
145,2.432,-0.113,0.19,-283.7
146,2.449,-0.09658,0.197,-284.4
147,2.465,-0.07856,0.203,-298.3
148,2.482,-0.06013,0.209,-293.8
149,2.499,-0.04203,0.211,-320.0
150,2.516,-0.02004,0.214,-321.1
151,2.532,-0.001827,0.213,-294.0
152,2.549,0.01639,0.208,-283.8
153,2.566,0.03223,0.203,-333.3
154,2.583,0.0547,0.195,-382.3
155,2.6,0.07245,0.181,-358.0
156,2.616,0.08799,0.168,-377.3
157,2.633,0.104,0.152,-368.3
158,2.65,0.117,0.14,-295.1
159,2.667,0.124,0.127,-298.1
160,2.683,0.134,0.112,-357.1
161,2.7,0.14,0.09326,-387.7
162,2.717,0.147,0.07445,-452.2
163,2.734,0.152,0.05054,-387.0
164,2.75,0.156,0.03864,-333.5
165,2.767,0.153,0.01947,-345.3
166,2.784,0.152,0.006313,-285.9
167,2.801,0.149,-0.006087,-401.7
168,2.818,0.143,-0.02809,-423.1
169,2.834,0.137,-0.04053,-355.3
170,2.851,0.131,-0.05557,-394.6
171,2.868,0.121,-0.06929,-376.0
172,2.885,0.113,-0.08097,-348.2
173,2.901,0.105,-0.09234,-380.4
174,2.918,0.09445,-0.106,-402.1
175,2.935,0.08081,-0.115,-422.3
176,2.952,0.06703,-0.129,-427.9
177,2.968,0.05123,-0.135,-358.7
178,2.985,0.04017,-0.145,-355.7
179,3.002,0.02322,-0.15,-373.6
180,3.019,0.007697,-0.154,-329.8
181,3.036,-0.006488,-0.163,-298.8
182,3.052,-0.02063,-0.164,-274.0
183,3.069,-0.03259,-0.161,-295.1
184,3.086,-0.04953,-0.161,-280.5
185,3.103,-0.06124,-0.161,-248.8
186,3.119,-0.07617,-0.16,-287.9
187,3.136,-0.09091,-0.154,-252.2
188,3.153,-0.101,-0.151,-269.8
189,3.17,-0.119,-0.144,-299.5
190,3.187,-0.13,-0.135,-250.4
191,3.203,-0.142,-0.128,-284.7
192,3.22,-0.156,-0.116,-322.9
193,3.237,-0.169,-0.102,-283.5
194,3.254,-0.176,-0.08994,-260.9
195,3.27,-0.189,-0.07821,-280.9
196,3.287,-0.195,-0.06213,-318.5
197,3.304,-0.205,-0.04262,-309.1
198,3.321,-0.212,-0.02702,-258.9
199,3.337,-0.215,-0.01161,-253.7
200,3.354,-0.215,0.004645,-248.5
201,3.371,-0.217,0.01989,-242.9
202,3.388,-0.215,0.03548,-270.6
203,3.405,-0.212,0.05404,-280.5
204,3.421,-0.208,0.0707,-234.8
205,3.438,-0.205,0.08352,-253.8
206,3.455,-0.197,0.102,-324.3
207,3.472,-0.187,0.122,-303.1
208,3.488,-0.175,0.134,-306.2
209,3.505,-0.162,0.153,-319.5
210,3.522,-0.148,0.166,-276.7
211,3.539,-0.135,0.177,-275.1
212,3.555,-0.119,0.187,-302.2
213,3.572,-0.101,0.197,-301.3
214,3.589,-0.08432,0.204,-299.1
215,3.606,-0.06457,0.209,-336.8
216,3.623,-0.04189,0.212,-298.1
217,3.639,-0.027,0.214,-276.2
218,3.656,-0.00708,0.213,-306.1
219,3.673,0.01118,0.209,-309.7
