,t,x,y,ω
1,0.017,0.0356,0.208,-50.3
2,0.034,0.04059,0.208,-60.0
3,0.05,0.04296,0.207,-65.6
4,0.067,0.04845,0.206,-117.5
5,0.084,0.05683,0.203,-156.5
6,0.101,0.06657,0.199,-176.7
7,0.117,0.07686,0.194,-211.0
8,0.134,0.08989,0.188,-253.2
9,0.151,0.104,0.179,-244.8
10,0.168,0.114,0.17,-243.8
11,0.185,0.125,0.159,-271.0
12,0.201,0.137,0.148,-327.4
13,0.218,0.15,0.13,-346.5
14,0.235,0.16,0.114,-282.1
15,0.252,0.167,0.101,-268.2
16,0.268,0.173,0.08589,-288.3
17,0.285,0.177,0.07014,-290.3
18,0.302,0.179,0.05377,-302.1
19,0.319,0.181,0.03689,-286.8
20,0.335,0.182,0.02271,-307.9
21,0.352,0.184,0.003739,-287.5
22,0.369,0.181,-0.008028,-255.9
23,0.386,0.177,-0.02304,-315.5
24,0.403,0.171,-0.03984,-332.2
25,0.419,0.163,-0.05474,-347.9
26,0.436,0.155,-0.07177,-385.5
27,0.453,0.148,-0.09037,-357.7
28,0.47,0.136,-0.102,-350.6
29,0.486,0.125,-0.118,-408.1
30,0.503,0.109,-0.132,-384.1
31,0.52,0.09618,-0.143,-385.7
32,0.537,0.07683,-0.153,-425.3
33,0.554,0.05869,-0.165,-424.0
34,0.57,0.0376,-0.172,-353.0
35,0.587,0.02381,-0.175,-283.6
36,0.604,0.008821,-0.178,-298.6
37,0.621,-0.007271,-0.183,-279.5
38,0.637,-0.0209,-0.182,-254.4
39,0.654,-0.03449,-0.181,-296.0
40,0.671,-0.05279,-0.179,-313.7
41,0.688,-0.06823,-0.175,-273.7
42,0.704,-0.08181,-0.17,-273.7
43,0.721,-0.09596,-0.163,-269.6
44,0.738,-0.11,-0.159,-278.3
45,0.755,-0.125,-0.15,-306.2
46,0.772,-0.14,-0.14,-324.2
47,0.788,-0.154,-0.126,-351.6
48,0.805,-0.169,-0.111,-345.9
49,0.822,-0.18,-0.09425,-328.3
50,0.839,-0.19,-0.07786,-337.8
51,0.855,-0.198,-0.0582,-305.8
52,0.872,-0.205,-0.04346,-272.0
53,0.889,-0.208,-0.02641,-288.2
54,0.906,-0.21,-0.008527,-314.6
55,0.922,-0.21,0.01214,-364.6
56,0.939,-0.208,0.03629,-359.3
57,0.956,-0.206,0.05662,-354.6
58,0.973,-0.197,0.07894,-401.8
59,0.99,-0.186,0.102,-404.3
60,1.006,-0.174,0.124,-396.1
61,1.023,-0.159,0.144,-391.3
62,1.04,-0.142,0.16,-368.1
63,1.057,-0.126,0.176,-380.6
64,1.073,-0.104,0.191,-398.8
65,1.09,-0.08306,0.204,-383.5
66,1.107,-0.0603,0.212,-358.0
67,1.124,-0.0385,0.215,-401.4
68,1.141,-0.009082,0.216,-369.3
69,1.157,0.008525,0.216,-399.4
70,1.174,0.04047,0.208,-418.2
71,1.191,0.05953,0.204,-377.6
72,1.208,0.0842,0.192,-398.9
73,1.224,0.103,0.181,-357.7
74,1.241,0.119,0.166,-381.3
75,1.258,0.135,0.148,-392.8
76,1.275,0.147,0.129,-383.6
77,1.291,0.159,0.11,-355.5
78,1.308,0.166,0.09283,-336.1
79,1.325,0.172,0.07449,-340.6
80,1.342,0.176,0.05635,-345.7
81,1.359,0.178,0.03713,-379.3
82,1.375,0.178,0.01578,-375.7
83,1.392,0.177,-0.002477,-345.7
84,1.409,0.174,-0.0199,-320.4
85,1.426,0.17,-0.03475,-345.1
86,1.442,0.163,-0.05329,-371.8
87,1.459,0.157,-0.06998,-355.8
88,1.476,0.149,-0.08581,-333.4
89,1.493,0.138,-0.09705,-391.0
90,1.509,0.124,-0.116,-419.5
91,1.526,0.111,-0.128,-393.1
92,1.543,0.09433,-0.141,-391.8
93,1.56,0.07946,-0.152,-343.3
94,1.577,0.06546,-0.161,-311.1
95,1.593,0.05151,-0.167,-304.7
96,1.61,0.03695,-0.174,-306.3
97,1.627,0.02171,-0.18,-277.7
98,1.644,0.008433,-0.182,-278.9
99,1.66,-0.007953,-0.185,-276.3
100,1.677,-0.0214,-0.184,-262.3
101,1.694,-0.03651,-0.183,-277.4
102,1.711,-0.05205,-0.182,-280.6
103,1.728,-0.06695,-0.178,-271.2
104,1.744,-0.0817,-0.175,-249.3
105,1.761,-0.09322,-0.168,-257.9
106,1.778,-0.108,-0.161,-296.7
107,1.795,-0.123,-0.152,-317.7
108,1.811,-0.138,-0.141,-320.1
109,1.828,-0.151,-0.128,-339.0
110,1.845,-0.165,-0.113,-374.5
111,1.862,-0.178,-0.09326,-365.1
112,1.878,-0.188,-0.07604,-308.1
113,1.895,-0.195,-0.06094,-310.3
114,1.912,-0.201,-0.04144,-356.0
115,1.929,-0.205,-0.0195,-367.8
116,1.946,-0.207,0.002495,-346.7
117,1.962,-0.207,0.02246,-342.9
118,1.979,-0.203,0.04387,-381.8
119,1.996,-0.196,0.06739,-387.4
120,2.013,-0.188,0.08819,-406.4
121,2.029,-0.176,0.113,-430.8
122,2.046,-0.162,0.134,-439.6
123,2.063,-0.144,0.157,-445.6
124,2.08,-0.124,0.174,-396.2
125,2.096,-0.106,0.189,-383.8
126,2.113,-0.0824,0.199,-382.2
127,2.13,-0.0621,0.21,-368.4
128,2.147,-0.0388,0.216,-355.9
129,2.164,-0.01745,0.219,-382.7
130,2.18,0.0102,0.218,-446.2
131,2.197,0.0393,0.214,-438.9
132,2.214,0.06469,0.207,-359.8
133,2.231,0.08266,0.2,-336.4
134,2.247,0.103,0.188,-381.3
135,2.264,0.122,0.173,-399.4
136,2.281,0.139,0.154,-396.4
137,2.298,0.153,0.135,-392.3
138,2.315,0.166,0.115,-380.1
139,2.331,0.175,0.09561,-367.2
140,2.348,0.182,0.07512,-337.0
141,2.365,0.185,0.05799,-316.7
142,2.382,0.187,0.03923,-308.9
143,2.398,0.188,0.02323,-336.4
