,t,x,y,ω
1,0.017,0.168,0.0969,-9.6
2,0.033,0.168,0.09564,-15.1
3,0.05,0.169,0.09564,-5.5
4,0.067,0.169,0.09564,-34.5
5,0.084,0.171,0.09187,-49.5
6,0.101,0.172,0.09061,-15.0
7,0.117,0.172,0.09061,-9.8
8,0.134,0.172,0.08935,-44.6
9,0.151,0.173,0.08558,-91.0
10,0.168,0.172,0.07802,-87.6
11,0.184,0.172,0.07425,-99.9
12,0.201,0.173,0.0667,-112.2
13,0.218,0.173,0.06166,-84.5
14,0.235,0.172,0.05663,-55.8
15,0.252,0.173,0.05537,-112.6
16,0.268,0.176,0.0453,-120.7
17,0.285,0.176,0.04279,-109.4
18,0.302,0.178,0.03398,-156.7
19,0.319,0.178,0.02643,-106.0
20,0.335,0.178,0.02265,-118.2
21,0.352,0.177,0.01384,-130.5
22,0.369,0.176,0.008809,-158.7
23,0.386,0.171,-0.002517,-228.3
24,0.402,0.165,-0.01384,-194.5
25,0.419,0.165,-0.02139,-131.7
26,0.436,0.163,-0.02643,-174.7
27,0.453,0.16,-0.03775,-239.3
28,0.47,0.154,-0.04782,-255.3
29,0.486,0.148,-0.05915,-299.8
30,0.503,0.139,-0.07173,-323.1
31,0.52,0.128,-0.0818,-370.6
32,0.537,0.115,-0.09564,-333.0
33,0.553,0.108,-0.103,-308.8
34,0.57,0.09376,-0.112,-371.0
35,0.587,0.08495,-0.127,-278.9
36,0.604,0.07362,-0.125,-289.7
37,0.62,0.05726,-0.128,-374.6
38,0.637,0.04216,-0.13,-356.2
39,0.654,0.02832,-0.132,-416.6
40,0.671,0.009438,-0.133,-497.4
41,0.688,-0.0107,-0.133,-459.5
42,0.704,-0.02706,-0.135,-316.1
43,0.721,-0.03587,-0.132,-358.0
44,0.738,-0.056,-0.13,-407.0
45,0.755,-0.06859,-0.125,-250.5
46,0.771,-0.07488,-0.121,-279.7
47,0.788,-0.09124,-0.116,-327.3
48,0.805,-0.101,-0.109,-256.4
49,0.822,-0.111,-0.104,-225.8
50,0.838,-0.121,-0.101,-320.1
51,0.855,-0.133,-0.08432,-399.1
52,0.872,-0.15,-0.07425,-365.6
53,0.889,-0.154,-0.05663,-323.4
54,0.906,-0.164,-0.0453,-344.8
55,0.922,-0.158,-0.02391,-330.6
