,t,x,y,ω
1,0.017,0.009562,0.191,-16.0
2,0.034,0.009215,0.191,-19.3
3,0.05,0.01179,0.192,-106.1
4,0.067,0.02114,0.191,-201.2
5,0.084,0.03434,0.19,-214.8
6,0.101,0.04484,0.186,-181.3
7,0.117,0.05378,0.183,-152.9
8,0.134,0.06101,0.181,-165.4
9,0.151,0.07079,0.176,-225.8
10,0.168,0.08369,0.17,-247.1
11,0.184,0.09509,0.164,-212.4
12,0.201,0.104,0.158,-218.8
13,0.218,0.114,0.149,-243.9
14,0.235,0.124,0.14,-251.1
15,0.252,0.132,0.127,-257.2
16,0.268,0.141,0.118,-260.1
17,0.285,0.147,0.104,-219.5
18,0.302,0.152,0.09642,-182.6
19,0.319,0.157,0.08759,-180.6
20,0.335,0.16,0.07948,-215.7
21,0.352,0.168,0.06781,-263.5
22,0.369,0.169,0.05351,-261.6
23,0.386,0.17,0.03991,-286.0
24,0.403,0.171,0.02399,-313.6
25,0.419,0.172,0.008076,-275.8
26,0.436,0.172,-0.003791,-212.2
27,0.453,0.17,-0.01314,-163.0
28,0.47,0.169,-0.01993,-141.0
29,0.486,0.169,-0.02724,-150.0
30,0.503,0.167,-0.03478,-200.1
31,0.52,0.164,-0.04647,-256.4
32,0.537,0.159,-0.05888,-312.2
33,0.553,0.149,-0.07365,-321.2
34,0.57,0.142,-0.08575,-348.4
35,0.587,0.13,-0.101,-343.7
36,0.604,0.121,-0.111,-257.8
37,0.621,0.113,-0.119,-224.8
38,0.637,0.105,-0.126,-225.0
39,0.654,0.09591,-0.133,-251.9
40,0.671,0.0844,-0.138,-274.3
41,0.688,0.07165,-0.143,-291.9
42,0.704,0.05913,-0.15,-284.2
43,0.721,0.04724,-0.154,-266.5
44,0.738,0.03565,-0.159,-275.2
45,0.755,0.02205,-0.16,-269.9
46,0.771,0.01018,-0.162,-252.8
47,0.788,-0.001826,-0.163,-261.6
48,0.805,-0.01509,-0.166,-284.7
49,0.822,-0.02927,-0.163,-265.1
50,0.839,-0.03995,-0.159,-261.1
51,0.855,-0.05317,-0.155,-316.0
52,0.872,-0.06915,-0.15,-350.2
53,0.889,-0.08377,-0.141,-271.8
54,0.906,-0.09206,-0.137,-210.1
55,0.922,-0.101,-0.131,-251.1
56,0.939,-0.111,-0.123,-291.0
57,0.956,-0.123,-0.113,-294.0
58,0.973,-0.133,-0.103,-282.9
59,0.989,-0.139,-0.09037,-295.0
60,1.006,-0.147,-0.07842,-291.5
61,1.023,-0.154,-0.066,-290.5
62,1.04,-0.16,-0.05268,-291.6
63,1.057,-0.164,-0.03927,-258.8
64,1.073,-0.166,-0.02807,-246.5
65,1.09,-0.168,-0.01524,-279.2
66,1.107,-0.169,-0.0006759,-317.8
67,1.124,-0.169,0.01622,-358.1
68,1.14,-0.167,0.03482,-382.6
69,1.157,-0.164,0.05416,-317.2
70,1.174,-0.16,0.06589,-275.2
71,1.191,-0.154,0.08052,-297.2
72,1.208,-0.147,0.0936,-301.0
73,1.224,-0.138,0.107,-290.2
74,1.241,-0.131,0.119,-341.8
75,1.258,-0.116,0.134,-379.1
76,1.275,-0.103,0.147,-316.9
77,1.291,-0.09185,0.158,-269.9
78,1.308,-0.08066,0.165,-279.9
79,1.325,-0.06568,0.172,-293.9
80,1.342,-0.05189,0.178,-288.3
81,1.358,-0.03617,0.183,-279.6
82,1.375,-0.02242,0.187,-296.1
83,1.392,-0.004195,0.19,-354.4
84,1.409,0.01676,0.19,-319.3
85,1.426,0.03144,0.189,-259.4
86,1.442,0.04569,0.187,-259.4
87,1.459,0.06001,0.183,-311.8
88,1.476,0.07909,0.176,-336.7
89,1.493,0.09459,0.168,-305.0
90,1.509,0.109,0.159,-297.9
91,1.526,0.123,0.149,-294.8
92,1.543,0.134,0.137,-243.3
93,1.56,0.142,0.129,-211.5
94,1.576,0.149,0.119,-233.3
95,1.593,0.155,0.107,-283.1
96,1.61,0.164,0.09153,-352.1
97,1.627,0.175,0.07343,-287.8
98,1.644,0.177,0.06253,-222.3
99,1.66,0.179,0.04918,-238.6
100,1.677,0.182,0.03673,-221.4
101,1.694,0.183,0.02531,-236.5
102,1.711,0.184,0.01124,-272.9
103,1.727,0.181,-0.004,-271.3
104,1.744,0.179,-0.01748,-240.9
105,1.761,0.175,-0.0288,-206.2
106,1.778,0.172,-0.0381,-157.2
107,1.795,0.171,-0.04458,-166.6
108,1.811,0.169,-0.05509,-177.6
109,1.828,0.164,-0.06161,-233.1
110,1.845,0.155,-0.0751,-327.6
111,1.862,0.15,-0.09236,-332.6
112,1.878,0.138,-0.104,-274.0
113,1.895,0.13,-0.112,-257.7
114,1.912,0.12,-0.123,-259.7
115,1.929,0.109,-0.127,-221.8
116,1.945,0.1,-0.134,-210.1
117,1.962,0.09245,-0.14,-212.5
118,1.979,0.08309,-0.145,-259.7
119,1.996,0.0694,-0.15,-281.7
120,2.013,0.05691,-0.154,-277.5
121,2.029,0.04413,-0.16,-293.9
122,2.046,0.02991,-0.163,-304.5
123,2.063,0.0151,-0.165,-249.4
124,2.08,0.005992,-0.168,-161.4
125,2.096,-0.0004898,-0.17,-172.5
126,2.113,-0.01117,-0.17,-255.0
127,2.13,-0.02513,-0.164,-292.8
128,2.147,-0.03847,-0.16,-316.3
129,2.163,-0.05447,-0.155,-314.1
130,2.18,-0.06746,-0.151,-251.9
131,2.197,-0.07688,-0.146,-185.4
132,2.214,-0.08213,-0.14,-173.1
133,2.231,-0.09021,-0.136,-202.3
134,2.247,-0.09941,-0.131,-254.1
135,2.264,-0.11,-0.122,-330.0
136,2.281,-0.122,-0.11,-367.5
137,2.298,-0.133,-0.09486,-318.3
138,2.314,-0.14,-0.08446,-279.6
139,2.331,-0.147,-0.07229,-246.8
140,2.348,-0.151,-0.0638,-212.6
141,2.365,-0.155,-0.05359,-253.2
142,2.381,-0.16,-0.04103,-307.5
143,2.398,-0.165,-0.0254,-295.8
144,2.415,-0.165,-0.01293,-309.8
145,2.432,-0.166,0.004683,-386.5
146,2.449,-0.165,0.02467,-340.6
147,2.465,-0.164,0.03807,-293.4
148,2.482,-0.161,0.05333,-323.2
149,2.499,-0.155,0.06875,-339.4
150,2.516,-0.149,0.08507,-381.3
151,2.532,-0.139,0.104,-407.8
152,2.549,-0.127,0.12,-380.8
153,2.566,-0.115,0.134,-365.0
154,2.583,-0.1,0.147,-345.6
155,2.6,-0.08785,0.159,-302.2
156,2.616,-0.07473,0.166,-306.7
157,2.633,-0.059,0.175,-326.4
158,2.65,-0.04246,0.18,-301.3
159,2.667,-0.02771,0.184,-294.0
160,2.683,-0.01116,0.187,-316.9
161,2.7,0.006866,0.189,-316.6
162,2.717,0.0237,0.187,-338.4
163,2.734,0.04393,0.184,-354.3
164,2.75,0.06204,0.179,-290.7
165,2.767,0.07462,0.174,-283.8
166,2.784,0.09091,0.167,-305.8
167,2.801,0.105,0.158,-280.3
168,2.818,0.117,0.149,-235.8
169,2.834,0.125,0.142,-220.8
170,2.851,0.132,0.13,-308.7
171,2.868,0.145,0.114,-328.0
172,2.885,0.152,0.101,-378.2
173,2.901,0.163,0.07795,-375.4
174,2.918,0.168,0.06432,-259.6
175,2.935,0.171,0.05205,-244.2
176,2.952,0.172,0.03899,-236.7
177,2.968,0.173,0.02734,-258.7
178,2.985,0.173,0.01243,-309.3
179,3.002,0.174,-0.004321,-334.0
180,3.019,0.169,-0.02104,-279.3
181,3.036,0.167,-0.03182,-211.8
182,3.052,0.163,-0.04116,-213.3
183,3.069,0.158,-0.05127,-237.7
184,3.086,0.153,-0.06249,-272.3
185,3.103,0.149,-0.07615,-291.0
186,3.119,0.14,-0.08729,-307.5
187,3.136,0.131,-0.1,-305.6
188,3.153,0.122,-0.111,-287.1
189,3.17,0.112,-0.121,-248.2
190,3.186,0.106,-0.128,-232.4
191,3.203,0.09524,-0.135,-249.7
192,3.22,0.08409,-0.139,-260.4
193,3.237,0.07167,-0.144,-293.1
194,3.254,0.05804,-0.149,-269.1
195,3.27,0.04834,-0.154,-218.6
196,3.287,0.03946,-0.159,-213.7
197,3.304,0.02878,-0.159,-261.7
198,3.321,0.01466,-0.162,-308.7
199,3.337,-0.0003358,-0.165,-255.8
200,3.354,-0.009984,-0.168,-232.3
201,3.371,-0.0231,-0.166,-336.0
202,3.388,-0.04263,-0.163,-302.1
203,3.405,-0.05158,-0.158,-232.5
204,3.421,-0.06363,-0.154,-275.3
205,3.438,-0.07531,-0.146,-305.6
206,3.455,-0.08945,-0.139,-264.9
207,3.472,-0.09883,-0.135,-237.0
208,3.488,-0.111,-0.129,-256.4
209,3.505,-0.119,-0.12,-245.9
210,3.522,-0.128,-0.111,-270.0
211,3.539,-0.137,-0.1,-305.6
212,3.555,-0.146,-0.08716,-352.5
213,3.572,-0.154,-0.06997,-344.7
214,3.589,-0.161,-0.056,-303.7
215,3.606,-0.167,-0.04204,-283.8
216,3.623,-0.169,-0.02888,-273.5
217,3.639,-0.171,-0.01493,-304.1
218,3.656,-0.171,0.001433,-330.3
219,3.673,-0.171,0.01824,-312.6
220,3.69,-0.169,0.03271,-392.1
221,3.706,-0.161,0.05602,-406.1
222,3.723,-0.158,0.07235,-373.4
223,3.74,-0.149,0.092,-400.9
224,3.757,-0.138,0.108,-356.3
225,3.773,-0.129,0.123,-299.5
226,3.79,-0.12,0.134,-347.4
227,3.807,-0.102,0.148,-370.7
228,3.824,-0.08886,0.157,-309.7
229,3.841,-0.07493,0.166,-326.2
230,3.857,-0.05837,0.174,-395.4
231,3.874,-0.03524,0.181,-416.4
232,3.891,-0.01488,0.185,-371.8
233,3.908,0.004772,0.187,-329.8
234,3.924,0.02125,0.188,-321.5
235,3.941,0.04002,0.184,-341.1
236,3.958,0.05779,0.179,-328.7
237,3.975,0.07474,0.174,-302.0
238,3.992,0.08887,0.167,-309.3
239,4.008,0.105,0.157,-313.8
240,4.025,0.117,0.147,-274.1
241,4.042,0.127,0.137,-306.2
242,4.059,0.14,0.123,-299.3
243,4.075,0.146,0.111,-263.3
244,4.092,0.154,0.09754,-265.6
245,4.109,0.163,0.08723,-279.5
246,4.126,0.17,0.07195,-275.0
247,4.142,0.173,0.05953,-274.6
248,4.159,0.175,0.04276,-250.5
249,4.176,0.177,0.03309,-238.7
250,4.193,0.177,0.01778,-321.6
251,4.21,0.177,-0.0006425,-312.0
252,4.226,0.173,-0.01426,-239.1
253,4.243,0.17,-0.0246,-223.5
254,4.26,0.167,-0.03605,-210.2
255,4.277,0.164,-0.04485,-169.6
256,4.293,0.161,-0.05212,-216.8
257,4.31,0.158,-0.06538,-260.0
258,4.327,0.151,-0.07565,-289.3
259,4.344,0.143,-0.09018,-364.0
260,4.36,0.127,-0.102,-360.1
261,4.377,0.118,-0.115,-313.5
262,4.394,0.108,-0.126,-241.7
263,4.411,0.101,-0.132,-185.7
264,4.428,0.09345,-0.136,-197.2
265,4.444,0.08484,-0.142,-244.0
266,4.461,0.07154,-0.145,-280.0
267,4.478,0.05939,-0.15,-285.9
268,4.495,0.04703,-0.157,-275.0
269,4.511,0.0351,-0.161,-247.3
270,4.528,0.02359,-0.161,-262.5
271,4.545,0.01018,-0.165,-240.6
272,4.562,0.0008022,-0.166,-238.4
273,4.578,-0.013,-0.166,-258.2
274,4.595,-0.02466,-0.168,-267.8
275,4.612,-0.03934,-0.164,-279.9
276,4.629,-0.05189,-0.162,-286.0
277,4.646,-0.06555,-0.154,-310.8
278,4.662,-0.08001,-0.149,-238.9
279,4.679,-0.08695,-0.144,-177.1
280,4.696,-0.09427,-0.139,-210.4
281,4.713,-0.105,-0.133,-263.1
282,4.729,-0.117,-0.126,-249.8
283,4.746,-0.124,-0.118,-244.8
284,4.763,-0.134,-0.108,-301.0
285,4.78,-0.144,-0.09476,-299.9
286,4.797,-0.151,-0.08272,-274.6
287,4.813,-0.157,-0.07071,-303.9
288,4.83,-0.164,-0.05503,-319.1
289,4.847,-0.169,-0.04051,-307.5
290,4.864,-0.173,-0.02522,-322.6
291,4.88,-0.175,-0.008258,-319.2
292,4.897,-0.176,0.007434,-323.1
293,4.914,-0.174,0.02486,-382.6
294,4.931,-0.17,0.04634,-376.4
295,4.947,-0.166,0.06289,-339.8
296,4.964,-0.158,0.0795,-337.6
297,4.981,-0.151,0.09493,-324.5
298,4.998,-0.141,0.109,-338.5
299,5.015,-0.129,0.123,-348.7
300,5.031,-0.118,0.137,-338.4
