,t,x,y,ω
1,0.017,0.18,0.04594,-174.5
2,0.034,0.181,0.03818,-163.3
3,0.05,0.182,0.02833,-151.7
4,0.067,0.181,0.02149,-142.9
5,0.084,0.181,0.01278,-181.2
6,0.101,0.181,0.00221,-202.8
7,0.117,0.18,-0.008667,-253.5
8,0.134,0.18,-0.02463,-319.7
9,0.151,0.174,-0.04163,-379.8
10,0.168,0.165,-0.06165,-386.5
11,0.184,0.156,-0.07775,-389.7
12,0.201,0.143,-0.09529,-387.6
13,0.218,0.134,-0.11,-345.4
14,0.235,0.122,-0.123,-365.0
15,0.252,0.106,-0.133,-441.5
16,0.268,0.08323,-0.144,-460.7
17,0.285,0.06562,-0.155,-436.2
18,0.302,0.04555,-0.166,-375.4
19,0.319,0.03072,-0.169,-271.1
20,0.335,0.01912,-0.173,-367.2
21,0.352,-0.006198,-0.176,-370.9
22,0.369,-0.01888,-0.175,-332.6
23,0.386,-0.03999,-0.171,-368.8
24,0.403,-0.05702,-0.17,-283.3
25,0.419,-0.07168,-0.171,-294.5
26,0.436,-0.08811,-0.163,-283.0
27,0.453,-0.09854,-0.157,-265.1
28,0.47,-0.112,-0.147,-277.8
29,0.486,-0.124,-0.14,-234.8
30,0.503,-0.135,-0.134,-255.1
31,0.52,-0.148,-0.124,-323.7
32,0.537,-0.158,-0.106,-287.8
33,0.553,-0.168,-0.09804,-298.4
34,0.57,-0.177,-0.07875,-410.2
35,0.587,-0.185,-0.05488,-419.8
36,0.604,-0.191,-0.03329,-384.5
37,0.621,-0.194,-0.01234,-375.1
38,0.637,-0.195,0.009193,-485.0
39,0.654,-0.188,0.04215,-396.6
40,0.671,-0.187,0.05372,-301.4
41,0.688,-0.182,0.07622,-354.6
42,0.704,-0.177,0.09366,-347.0
43,0.721,-0.167,0.114,-373.7
44,0.738,-0.155,0.132,-384.1
45,0.755,-0.14,0.151,-360.7
46,0.771,-0.126,0.164,-331.9
47,0.788,-0.109,0.178,-356.7
48,0.805,-0.08994,0.188,-313.5
49,0.822,-0.07555,0.196,-345.9
50,0.839,-0.05081,0.205,-435.8
51,0.855,-0.02383,0.211,-383.1
52,0.872,-0.003878,0.214,-380.6
53,0.889,0.02383,0.215,-380.0
54,0.906,0.04338,0.209,-333.2
55,0.922,0.06449,0.205,-356.6
56,0.939,0.08557,0.195,-359.1
57,0.956,0.104,0.183,-332.0
58,0.973,0.118,0.17,-356.2
59,0.99,0.135,0.153,-366.8
60,1.006,0.148,0.137,-369.9
61,1.023,0.161,0.117,-371.3
62,1.04,0.171,0.1,-346.8
63,1.057,0.177,0.08072,-315.4
64,1.073,0.179,0.06488,-275.1
65,1.09,0.181,0.04947,-309.6
66,1.107,0.182,0.03047,-349.5
67,1.124,0.181,0.01128,-318.2
68,1.14,0.177,-0.003685,-311.2
69,1.157,0.172,-0.02079,-376.7
70,1.174,0.167,-0.04112,-381.5
71,1.191,0.16,-0.05728,-420.9
72,1.208,0.152,-0.08067,-463.4
73,1.224,0.138,-0.0974,-459.7
74,1.241,0.123,-0.116,-537.8
75,1.258,0.09771,-0.131,-552.8
76,1.275,0.07797,-0.146,-466.5
77,1.291,0.06072,-0.158,-396.4
78,1.308,0.04372,-0.166,-413.9
79,1.325,0.02151,-0.171,-442.1
80,1.342,-0.0001632,-0.178,-365.8
81,1.358,-0.01571,-0.177,-369.8
82,1.375,-0.03897,-0.176,-451.7
83,1.392,-0.06428,-0.174,-386.0
84,1.409,-0.07935,-0.167,-391.6
85,1.426,-0.104,-0.159,-431.9
86,1.442,-0.122,-0.146,-329.8
87,1.459,-0.133,-0.136,-299.5
88,1.476,-0.149,-0.125,-393.9
89,1.493,-0.166,-0.105,-429.1
90,1.509,-0.179,-0.08623,-345.3
91,1.526,-0.195,-0.07409,-356.7
92,1.543,-0.195,-0.04751,-422.6
93,1.56,-0.199,-0.02309,-452.0
94,1.576,-0.201,0.00502,-450.5
95,1.593,-0.201,0.02993,-422.7
96,1.61,-0.195,0.05436,-449.1
97,1.627,-0.188,0.08179,-457.4
98,1.644,-0.179,0.107,-434.2
99,1.66,-0.166,0.13,-382.6
100,1.677,-0.152,0.146,-306.1
101,1.694,-0.139,0.157,-349.8
102,1.711,-0.12,0.174,-420.2
103,1.727,-0.09946,0.191,-353.2
104,1.744,-0.08261,0.198,-325.8
105,1.761,-0.06175,0.207,-419.8
106,1.778,-0.03197,0.213,-442.7
107,1.795,-0.006571,0.215,-414.9
108,1.811,0.02021,0.215,-394.7
109,1.828,0.04317,0.212,-393.1
110,1.845,0.0687,0.205,-356.2
111,1.862,0.08527,0.197,-293.2
112,1.878,0.102,0.188,-351.4
113,1.895,0.122,0.173,-425.8
114,1.912,0.14,0.152,-416.4
115,1.929,0.156,0.135,-388.5
116,1.945,0.164,0.112,-347.3
117,1.962,0.172,0.09622,-321.8
118,1.979,0.182,0.079,-308.7
119,1.996,0.183,0.06239,-320.7
120,2.013,0.186,0.04198,-356.0
121,2.029,0.184,0.02216,-334.4
122,2.046,0.183,0.004848,-327.4
123,2.063,0.181,-0.01311,-413.9
124,2.08,0.173,-0.03791,-412.7
125,2.096,0.165,-0.05359,-383.9
126,2.113,0.155,-0.07293,-439.4
127,2.13,0.14,-0.09016,-415.1
128,2.147,0.128,-0.104,-445.6
129,2.163,0.11,-0.121,-513.1
130,2.18,0.09018,-0.136,-485.4
131,2.197,0.07287,-0.149,-473.6
132,2.214,0.05129,-0.16,-481.4
133,2.231,0.02916,-0.166,-406.8
134,2.247,0.01218,-0.169,-431.9
135,2.264,-0.01392,-0.175,-452.3
136,2.281,-0.03415,-0.175,-349.2
137,2.298,-0.04998,-0.171,-328.1
138,2.314,-0.06725,-0.166,-397.1
139,2.331,-0.08786,-0.155,-384.4
140,2.348,-0.103,-0.147,-317.8
141,2.365,-0.116,-0.137,-322.8
142,2.382,-0.13,-0.127,-334.2
143,2.398,-0.141,-0.112,-343.6
144,2.415,-0.156,-0.1,-333.7
145,2.432,-0.167,-0.08649,-359.4
146,2.449,-0.176,-0.06619,-410.1
147,2.465,-0.182,-0.04404,-427.4
148,2.482,-0.189,-0.02096,-423.9
149,2.499,-0.191,0.001982,-432.3
150,2.516,-0.19,0.02733,-499.9
151,2.532,-0.181,0.05669,-534.4
152,2.549,-0.176,0.08598,-456.4
153,2.566,-0.165,0.106,-401.9
154,2.583,-0.154,0.128,-342.9
155,2.6,-0.146,0.142,-317.6
156,2.616,-0.129,0.155,-350.6
157,2.633,-0.114,0.169,-358.2
158,2.65,-0.09516,0.181,-379.5
159,2.667,-0.07627,0.196,-362.9
160,2.683,-0.05729,0.206,-378.4
161,2.7,-0.03184,0.21,-384.8
162,2.717,-0.009969,0.216,-373.5
163,2.734,0.01493,0.218,-380.8
164,2.75,0.03835,0.215,-422.1
165,2.767,0.06806,0.209,-380.3
166,2.784,0.08496,0.201,-298.2
167,2.801,0.102,0.192,-338.8
